name,followers,popularity,spotify_url
Phi Hùng,8,0,https://open.spotify.com/artist/6VVyGSaL3pDX5FLx2JEF1Z
hoo,10739,35,https://open.spotify.com/artist/3m6jEnDtzQNbPcwI0XmoxL
Bình Gold,284852,50,https://open.spotify.com/artist/3oB1lv9FWDKbNOUvdTw75Q
Dương Triệu Vũ,35209,29,https://open.spotify.com/artist/7eNVs44Liz46dWLt9LAONW
Emily,52513,46,https://open.spotify.com/artist/2XKlSkrslCs0egLOvSB4Ul
Hiếu Liêm,0,0,https://open.spotify.com/artist/2hpthGP9XZPyrMhKw3Cuvu
Cà Nâu,878,15,https://open.spotify.com/artist/1GaNXOOINBcBKwdd58rMbW
Mai Chí Công,508,10,https://open.spotify.com/artist/665uw8o91XjaurF6NmWWNF
Tezzy,663,35,https://open.spotify.com/artist/4zbdqgzf7uo0HYPzHXSWSN
TRANG,136832,48,https://open.spotify.com/artist/2knyDFP4xw9wZEWA98JX6b
Anh Tú,175,28,https://open.spotify.com/artist/0jpozpnfgb3bGj2GxKZ2Hr
Yuni Boo,1897,17,https://open.spotify.com/artist/3yRfmWJuBCv2wEvxWKF1jh
Trinh,4126,27,https://open.spotify.com/artist/0mOcSvRiLdn5hl18OBUKgW
Kim Thủy,0,0,https://open.spotify.com/artist/10vc0xaYWKuVTLUjIR2bjI
Lâm Vũ,9874,13,https://open.spotify.com/artist/5BwjAjCwHned4iWcbUHnXc
Năm Cơ,39,1,https://open.spotify.com/artist/2QNx8yfcn6dKHdgeVxUL3D
ERIK,1012677,62,https://open.spotify.com/artist/1L1VfizWn4DkFt602yD80U
Thanh Kim Huệ,730,11,https://open.spotify.com/artist/1YY7fsrPjqj5ewITP5QIhe
Ba Vân,4,0,https://open.spotify.com/artist/3Ivu2hVWARi3EaCfCs58QA
Tama,19969,39,https://open.spotify.com/artist/4npVRqpqmmM0MYHXTzu0o1
Nhí,159,21,https://open.spotify.com/artist/4OfJkNlrRYCpb8FqSNqHXW
Nguyễn Hải Yến,147,6,https://open.spotify.com/artist/1idboghlaGtzA8B2eDJ6lv
Ngọc Ngữ,2368,27,https://open.spotify.com/artist/7vCKeEqgPv1FFEM2OivtNj
PHẠM TRƯỞNG,94944,31,https://open.spotify.com/artist/7mOR2T5boGEIUKqnOYN5tU
Giang,152,27,https://open.spotify.com/artist/1p78jLOtNAcDYznNDVOmqf
Reddy,56690,38,https://open.spotify.com/artist/6QfCxUkMNgOYA4dswW2ZWN
Will,11489,33,https://open.spotify.com/artist/3HMWKU43x9GxkGWVP1KjQT
Anh Kiệt,10,13,https://open.spotify.com/artist/5M17vY9uPpLjZlkvxfRJbW
Ngơ,527936,41,https://open.spotify.com/artist/4RGBKkUyyvsim9vdBKCCkc
Tuyên,1705,28,https://open.spotify.com/artist/4joNWs26XgMPKcV4hJ03hr
Kay Chau Anh,6259,42,https://open.spotify.com/artist/0sHgkSy46mGBuQLmyusrKu
Bùi Anh Tuấn,349508,51,https://open.spotify.com/artist/2Gvp79Cmni6PX13CAlSGex
Ngô Kiến Huy,177076,36,https://open.spotify.com/artist/7at0gkjCnhOBrxwQlJPJ4s
Van Tuyen,13,0,https://open.spotify.com/artist/0eypugLUby8cdk6JDgagFn
Lý Hải,22877,23,https://open.spotify.com/artist/5q98qLG6fV1rRb3jGRHDBu
REDT,1016,41,https://open.spotify.com/artist/5iggzY0xY68wNNWXhiPrZz
Groovie Lã Thắng,3096,42,https://open.spotify.com/artist/1yx4rYyjUYupI7Ji1YvXRh
