name,release_date,album_type,album_name,artists,duration_ms,popularity,spotify_url
Tình Nào Không Như Tình Đầu,2018-03-01,single,Tình Nào Không Như Tình Đầu,Trung Quân,281960,0,https://open.spotify.com/track/5HaKldnT9gWe70hr8bstmh
Hoa Nở Không Màu,2020-05-30,single,Hoa Nở Không Màu,Hoài Lâm,328106,0,https://open.spotify.com/track/2dEpaH5nsfnzU61LQ9rJuH
Muốn Nói Với Em,2018-03-01,single,Muốn Nói Với Em,T Team,233513,0,https://open.spotify.com/track/1HDrKXya87GMQfAGPlqNS9
Một Cú Lừa,2018-03-01,single,tâm trạng tan hơi chậm một chút,Bích Phương,208695,0,https://open.spotify.com/track/2LKI0fGEKR3RWAiY2jqq8k
em bỏ hút thuốc chưa,2018-03-01,single,tâm trạng tan hơi chậm một chút,Bích Phương,216000,0,https://open.spotify.com/track/2IDZxVWQypWxYIP6wqDzGN
"ex's hate me, Pt. 2",2020-06-29,album,dreAMEE,"AMEE, B Ray",216500,0,https://open.spotify.com/track/0Rx4GFPy8ISxPhRwkjl64b
Vùng Ký Ức,2020-03-27,single,Vùng Ký Ức,Chillies,296500,41,https://open.spotify.com/track/1503Da6qbgNifRnRwIjtZe
Ngày Tận Thế,2018-03-01,single,Ngày Tận Thế,Tóc Tiên,232166,0,https://open.spotify.com/track/5Nd0com2T4rHRZO2YFwD2n
yêu thì yêu không yêu thì yêu,2020-06-29,album,dreAMEE,AMEE,190285,0,https://open.spotify.com/track/79xFFmGKtEyky0I2G9U9Jg
sao anh chưa về nhà,2020-06-29,album,dreAMEE,"AMEE, Ricky Star",244000,0,https://open.spotify.com/track/0vB6E5gTZtnpodQCCW29JN
So Rang Em Biet Anh Con Yeu Em,2018-03-01,single,So Rang Em Biet Anh Con Yeu Em,JUUN D,322504,0,https://open.spotify.com/track/5TkvKPd7Bxv4xfU6cq6GGd
Khác Biệt To Lớn,2020-07-26,single,Khác Biệt To Lớn,"Trịnh Thăng Bình, Liz Kim Cuong",240000,0,https://open.spotify.com/track/27mHlM5VYrQhQ0xQDXXvg1
Để Mị Nói Cho Mà Nghe,2019-10-20,album,Hoàng,Hoàng Thùy Linh,193877,43,https://open.spotify.com/track/5mBWIm9EGnhZRYBYgAS72m
Kẻ Cắp Gặp Bà Già (feat. Binz),2019-10-20,album,Hoàng,"Hoàng Thùy Linh, Binz",231504,47,https://open.spotify.com/track/3HJ0EW4kd9S1NRCm039Fsk
Duyên Âm,2019-10-20,album,Hoàng,Hoàng Thùy Linh,179541,40,https://open.spotify.com/track/5dZHey2U2xrNpvgyop8URS
Em Đây Chẳng Phải Thúy Kiều,2019-10-20,album,Hoàng,Hoàng Thùy Linh,214499,44,https://open.spotify.com/track/031jyNUkkD02vrkgZDGJxu
Lắm Mối Tối Ngồi Không,2019-10-20,album,Hoàng,Hoàng Thùy Linh,194645,44,https://open.spotify.com/track/01WDJ9gcaXFuNzY5ir9CaE
