name,release_date,album_type,album_name,artists,duration_ms,popularity,spotify_url
Đừng Hòng,2024-03-11,single,Đừng Hòng,Ngô Trúc Linh,161495,38,https://open.spotify.com/track/5Z2kdgcqKJKggiif7k2iQs
Ổ Quỷ,2024-02-05,single,Ổ Quỷ,"DMT, Dangrangto, TeuYungBoy, summerdayy, Rocky CDE",178924,5,https://open.spotify.com/track/5WIKVELHZYJ4vl3x3xlbZD
PHIA SAU LUNG DOI,2024-02-05,single,PHIA SAU LUNG DOI,"KANIEZ, QUYNH",240000,30,https://open.spotify.com/track/7juFdoqh17d2ABlmI3p22q
Bốc Bát Họ,2018-08-04,single,Bốc Bát Họ,Bình Gold,233077,0,https://open.spotify.com/track/657vGwMIuxjv0kfZOunza0
Tham Phú Phụ Hồ,2024-03-20,single,Tham Phú Phụ Hồ,"Kejo, Yuri",138153,39,https://open.spotify.com/track/6NtEd604XMclP26Uqi2RFs
RU MÌNH,2019-06-10,album,3 (tuyển tập nhạc Ngọt mới trẻ sôi động 2019),Ngọt,126939,27,https://open.spotify.com/track/4as3LLLS2ONSNqgCV6saUR
03 Hay Là,2024-02-23,single,Suýt 1,Ngọt,202445,40,https://open.spotify.com/track/6yLbighkE0kn1OH9zd4aBi
d0n pku0nq ckj d3 s4u nku ck0 rack,2023-11-16,single,d0n pku0nq ckj d3 s4u nku ck0 rack,"phineas iu be, ferb iu em, Xoliez",210076,43,https://open.spotify.com/track/6stDp8sxjMmqsYqN7ieJQO
Ngày Mai Em Đi,2017-08-02,single,Ngày Mai Em Đi,"Lê Hiếu, SOOBIN, Touliver",218400,55,https://open.spotify.com/track/0ZP4bO2ywAv44HiEzzHaq5
Ăn Chuối,2024-05-10,single,Ăn Chuối,Chun Pop,149000,13,https://open.spotify.com/track/7Mtq1yTlJtkETd2ag8OGIU
Thiên Linh Linh Địa Linh Linh,2023-12-26,single,Thiên Linh Linh Địa Linh Linh,Nhật Hào,195985,13,https://open.spotify.com/track/6KhALVxynabDxe7sNc0lZC
Duyên Âm,2019-10-20,album,Hoàng,Hoàng Thùy Linh,179541,40,https://open.spotify.com/track/5dZHey2U2xrNpvgyop8URS
Quan Sơn Tửu (Remix),2023-03-04,album,Remix Blue Media 01,"Vinz, Việt Mino, Blue Music",330861,3,https://open.spotify.com/track/4eRV7U9CxJZT2pN29c6WSq
thế giới có nơi nào cho em,2022-10-18,single,thế giới có nơi nào cho em,Sweet Liquor,233280,28,https://open.spotify.com/track/250ZdIxcSXqXW4wC78bGX0
Lựa Chọn Của Em,2024-05-30,single,Lựa Chọn Của Em,"buitruonglinh, Vũ Phụng Tiên, Đậu Tất Đạt",247843,41,https://open.spotify.com/track/5S1qhBgTprx5CFkLmmU95i
Có Hay Từ Bao Giờ?,2022-09-04,single,Có Hay Từ Bao Giờ?,"Nie, Hast, KEI",249431,38,https://open.spotify.com/track/0oxd6z00u7t1gouhoEXeIY
Bất Bình Thường,2023-07-28,single,Bất Bình Thường,WHEE!,208518,36,https://open.spotify.com/track/5XlHPW9OOeYLxGFrC9WDVt
Kiss-Me,2013,single,Kiss Me,Thủy Tiên,266240,19,https://open.spotify.com/track/7ifdCqRhF2HpTpzmGyFepl
Bận Lòng,2022-10-03,single,Bận Lòng,"Pay, Phongkhin",202500,44,https://open.spotify.com/track/3q5U9H4GzUPnJ6USUKH6h1
Nop,2024-06-07,single,Nop,Xuan Tuyen,103205,0,https://open.spotify.com/track/2Em55Ch0yyWBJA3pVcDBrR
Đầu Đường Xó Chợ (ft. Lăng LD),2023-10-10,album,Đánh Đổi,"Obito, Lăng LD, Shiki",184615,0,https://open.spotify.com/track/2nFXaYb2fWOoUJXMPb6y4C
Ngày Đẹp Trời Để Nói Chia Tay,2024-06-13,single,Ngày Đẹp Trời Để Nói Chia Tay,Lou Hoàng,220223,58,https://open.spotify.com/track/3Alwi53Ahc2GwHgvel42b2
Em Oii,2019-02-19,single,Em Oii,The Flob,249720,38,https://open.spotify.com/track/4r3iHpRhNUgJDHi6wxTPEe
Em Dạo Này,2019-03-16,single,Cñgđc,Ngọt,215748,24,https://open.spotify.com/track/4Vo3stTe6AXRFUxPBXeA5Y
Em Không Được Phép Buồn Rầu,2022-08-20,single,Em Không Được Phép Buồn Rầu,kis,189971,32,https://open.spotify.com/track/2IAiuS54bZbVaQ9qdE859J
Bartender,2018-01-01,album,Ng'bthg,Ngọt,318953,35,https://open.spotify.com/track/5Lqxs8eLo9yMTq0GP9H2tu
Say You Do - 2nd Single 2015,2015,single,Say You Do,Tiên Tiên,220343,39,https://open.spotify.com/track/1WbBYmHCAF5A2crxoW94Lt
Giấc Mơ Của Em - Suy Version,2023-09-21,single,Giấc Mơ Của Em (Suy Version),"MYLINA, fueled by boba",190500,41,https://open.spotify.com/track/1kmKeANKIVzsfKtMZ4Ei6Z
Slatt ON,2022-04-01,single,Slatt ON,Hustlang Robber,225285,19,https://open.spotify.com/track/1Ksl0MKnsvGbPjRJIdjQFl
Simp Gái 808,2023-10-18,single,Simp Gái 808,Low G,161948,57,https://open.spotify.com/track/5J3m0taZ0W1E9HTE0MwcSv
Dân Chơi Sao Phải Khóc,2024-01-05,single,Dân Chơi Sao Phải Khóc,"Andree Right Hand, RHYDER, WOKEUP",210944,53,https://open.spotify.com/track/0dBKcPEAsdxWJsqNDNHcPz
Đánh Đổi,2023-10-10,album,Đánh Đổi,"Obito, Shiki, RPT MCK",226993,57,https://open.spotify.com/track/1UQNU5O9VttUgO16pxUnjw
Rainy Day,2024-03-27,single,Rainy Day,"QUYNH, Fous",186666,34,https://open.spotify.com/track/0byB89KKO0W9FNX0AHynon
"đắm chìm - hoo, clare",2023-04-16,single,ĐẮM,hoo,223718,38,https://open.spotify.com/track/02YAJuGa71rHGNhziC7wsQ
người điên,2023-08-16,album,ái,tlinh,147475,46,https://open.spotify.com/track/2QUU1AtY5fndKDNbr17EFk
Cánh Sen Cô Độc?,2023-12-28,single,Cánh Sen Cô Độc?,Ngọc Mai,247741,11,https://open.spotify.com/track/3LlFIq6q4w9cEMefgpOGVC
Tái chế con tim,2023-11-19,album,Sugar Rush,Mèow Lạc,224390,28,https://open.spotify.com/track/5ZWZxERwDEosiydpu3oER8
FuDo Milan,2023-05-09,single,FuDo Milan,Lil Van,145510,0,https://open.spotify.com/track/7KJWqk2SC5HCxt1cxYmaTW
Mộng Chiều Xuân,1971-01-01,compilation,Băng Nhạc Shotguns 12,Hà Thanh,206183,26,https://open.spotify.com/track/3JclHlnxXGoeElAAaeYf7c
Theo em về nhà,2023-12-10,single,Theo em về nhà,Ngọc Mai,174000,27,https://open.spotify.com/track/5Kiw5mRVhesqcp7YJVvkVI
nhắm chặt mắt lại hít thật sâu,2023-12-31,single,nhắm chặt mắt lại hít thật sâu,"Mer, Kriss Ngo",163548,24,https://open.spotify.com/track/6XQrm5OuCLs46XZlEqppWX
last day on earth,2023-06-16,single,sinh,"Mer, Kriss Ngo",172573,28,https://open.spotify.com/track/0jLQeN30gdbLXOp7mGwAnA
Love 1216,2020-03-14,single,Love 1216,Thịnh Suy,162660,25,https://open.spotify.com/track/19UHihdNXBwYEMcD3fw2s7
Mưa Giữa Bài,2022-09-12,single,Giấy Trắng,"Thắng, NÂN",166451,37,https://open.spotify.com/track/37z9493qxR7KdUEjrxoUFO
Rung Xua Da Khep - CD Version,2012-02-28,album,Lenh Denh Nho Pho,Giang Trang,66266,15,https://open.spotify.com/track/0LqTehPBbxfqrUW3OuDWS4
Bèo Dạt Mây Trôi,2023-11-10,album,Người Vợ Cuối Cùng (Original Motion Picture Soundtrack),Thùy Chi,119827,36,https://open.spotify.com/track/5N9FD4PvFfzw0F1qu4BZWL
Con Người,2022-11-17,album,Door To Nowhere,Thịnh Suy,141722,33,https://open.spotify.com/track/25SuMPWwaphY04iVfMRzcF
Viết Nhạc Cưa Em,2022-09-12,single,Giấy Trắng,"Thắng, Pixel Neko",177335,30,https://open.spotify.com/track/3ZnmwYrAwFeyhRJHFdnQIN
Tinder 101,2020-11-19,single,CHÁI MÁI,7UPPERCUTS,89645,26,https://open.spotify.com/track/3qPE5f5cqAMEv65EdoKYWr
Mất Thời Gian,2023-04-30,album,Cái Đầu Tiên,Thắng,200393,32,https://open.spotify.com/track/7jFHUsErqyXjIvyxzBKhf2
yêu qua mạng,2024-08-10,single,yêu qua mạng,Notcool,161576,27,https://open.spotify.com/track/2jUg72LIwTimdChGjbBQKh
Cuộc gọi lúc nửa đêm,2024-08-02,single,MỘNGMEE,AMEE,182582,48,https://open.spotify.com/track/6P7xEmk7ZZYz0AV84uOwiW
Trống Cơm,2024-07-27,album,Anh Trai Vượt Ngàn Chông Gai 2024 - Công Diễn 1,"Cường Seven, SOOBIN, Tự Long",254119,43,https://open.spotify.com/track/69CA72t8PPWgEFExXhuqII
Có Em,2022-04-22,single,Có em,"Madihu, Low G",218512,54,https://open.spotify.com/track/6Hs2xIgB8nzyGFDvVA8lFa
09 Chuyện Thường,2024-08-30,single,Suýt 2,Ngọt,196620,39,https://open.spotify.com/track/3kwb99PcsCYFYcFB0jTr1a
Tell the kids i love them,2023-10-10,album,Đánh Đổi,"Obito, Shiki",224175,54,https://open.spotify.com/track/2Asy51yFMEG8Qjh15kvQeD
khoảng trời phía chúng mình,2022-10-28,album,Diễu Hành Mùa Hè,"Tùng, TRANG",199687,32,https://open.spotify.com/track/4jHPTyx9LovypRWYvWQLMf
Em Noi Doi,2024-02-07,single,Em Noi Doi,"Nmọc, Notcool",167189,23,https://open.spotify.com/track/4zocudqPE2RFdNFmQFzWTg
Từng Quen,2023-12-17,album,LOI CHOI: The Neo Pop Punk,"Wren Evans, itsnk",174545,54,https://open.spotify.com/track/4qYfRfSxsmhJ1WMaywtLyI
Tán Gái 606 (Onionn. Remix) (live from GENfest 23),2024-01-09,album,Low G (live from GENfest 23),"Low G, Onionn.",150365,18,https://open.spotify.com/track/47iocLzIymQTHIytZmPzc3
đắm chìm pt2,2023-11-11,album,Love and Lost,"hoo, clare.",161612,29,https://open.spotify.com/track/4veq0rxuvUMUkzff2DbxmW
Nghe xong roi thi ngu ngon nhe!,2023-10-20,single,Nghe xong roi thi ngu ngon nhe!,"Notcool, Ngah",129750,32,https://open.spotify.com/track/0bSVvCbMjDegSJHQbYaLNE
SAYDAM,2022-12-23,single,EM,kidsai,151898,34,https://open.spotify.com/track/2M8pSABaDIBIp1c0PygLdg
Shawty,2022-03-26,single,Shawty,Xoxad,160458,0,https://open.spotify.com/track/0bF2Yqq7XI48BlG0Ao4apV
Em Trang Trí,2022-11-25,album,Gieo,Ngọt,165868,43,https://open.spotify.com/track/2dXH1lY55KCIvvrA6tVG3A
Hà Nội,2023-10-10,album,Đánh Đổi,"Obito, Shiki, VSTRA",165555,59,https://open.spotify.com/track/5PGh9MyKry8slG5AfvD1eD
Vòng Xoáy,2024-09-03,single,Vòng Xoáy,Minh Đinh,164050,12,https://open.spotify.com/track/6zlwx9y1Oe6en3IFCrkB45
Nép Vào Sát Vào,2023-04-20,album,420ent.,"Wxrdie, nick schmidt",140999,35,https://open.spotify.com/track/7rVh1jsSQBERflA0kNqv1P
TETVOVEN,2023-12-03,single,TETVOVEN,"Wxrdie, Andree Right Hand, Machiot",197230,52,https://open.spotify.com/track/72ictTz6o0dusD2QpCn4bn
TOKYO Cypher,2023-10-12,single,TOKYO Cypher,"Lil Wuyn, 16 BrT, 16 Typh",178823,4,https://open.spotify.com/track/0eKIEiMHZv0pOxz4iGOXda
Ném Ly,2024-08-28,single,Ném Ly,"Remind, Tọi",190153,32,https://open.spotify.com/track/7Id6K4erY1ZMMr3Tken6ei
Người Yêu Có Bạn Gái,2024-08-30,single,Người Yêu Có Bạn Gái,"Đồng Lan, Thắng",239705,37,https://open.spotify.com/track/4clakrnFWRZ1FiiX3LJxg6
So Well,2024-09-23,single,Này Hay,"Ân ngờ, Notcool, Zer Nguyễn",174312,30,https://open.spotify.com/track/6DAOj1EKiGP5B7CTD3XImI
PHÓNG ZÌN ZÌN,2024-09-18,single,FLVR,"tlinh, Low G",202999,63,https://open.spotify.com/track/3COYA2vgfcUhDyRlVpZy5p
Nghe kể năm 90s,2024-09-23,single,Này Hay,"Ân ngờ, Suzie MK, Zer Nguyễn",235665,49,https://open.spotify.com/track/0bAmqokpYHnFWAHpzqDOxB
Grow Up (Remix) [Instrumental],2022-12-26,single,Grow Up (Remix) [Instrumental],"Exclusive Music, guHancci",309531,24,https://open.spotify.com/track/3u2G7SOp8wTSV1Dr7y3K3e
HOP ON DA SHOW,2024-09-18,single,FLVR,"tlinh, Low G",175876,39,https://open.spotify.com/track/1BD3AOAttsy8P9BZKwdpB3
doodle - Slowed,2024-07-31,single,doodle (Remix),Zachz Winner,93134,54,https://open.spotify.com/track/79iZzBSEsS1bjm5eoOtvyx
E và A (nhạc giáng sinh mộng mơ),2023-12-24,single,E và A (nhạc giáng sinh mộng mơ),"Chơi Tới Già, Pate",202285,0,https://open.spotify.com/track/4AZ6tYdMmNP3sYePhGzYRM
Một Giấc Mơ Hoang Đường,2023-12-13,album,Những Ngày Rong Chơi,Minh Tốc & Lam,212920,34,https://open.spotify.com/track/6vf7njmLia1s77Q5Plesa2
Không Yêu Em Thì Yêu Ai?,2024-09-27,album,Bảo Tàng Của Nuối Tiếc,"Vũ., Low G",232647,59,https://open.spotify.com/track/0e6fZkLArSmDIHnZcIua7t
NGÂN,2024-09-18,single,FLVR,"tlinh, Low G",158905,51,https://open.spotify.com/track/1TcmqSx576eBcuTxTtcEAk
ĐÂU PHẢI VỢ ANH (feat. Dangrangto),2024-10-14,album,"RAP VIỆT 2024, Tập 4","RAP VIỆT, Dangrangto",184000,52,https://open.spotify.com/track/2naHX4cacns359w3ugyt3P
Hoa Kiều,2021-07-19,single,Hoa Kiều,Trung Tâm Băng Đĩa Lậu Hải Ngoại,258574,34,https://open.spotify.com/track/1p9kfCk3IbjioLhVQxCyib
2 4,2024-07-31,single,2 4,W/N,199312,52,https://open.spotify.com/track/6r5o9yIc16ZvymXUKJQ1yy
"TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik)",2024-09-18,single,"ANH TRAI ""SAY HI"", Tập 14","ANH TRAI ""SAY HI"", Quang Hùng MasterD, Negav, Pháp Kiều, ERIK",316000,58,https://open.spotify.com/track/3Nn9QjxOEj1pleW9xTG6cq
Anh Chưa Biết Em,2020-03-15,single,Anh Chưa Biết Em,Liu Grace,178775,10,https://open.spotify.com/track/0U9TFIiCYcOqULZ2dYJcmu
FuDo Milan,2024-04-04,single,FuDo Milan,"Lil Van, AL403",143703,46,https://open.spotify.com/track/2QVVQKGbRpMGhKdndVn3Dq
Dem Cuu (Counting Sheep),2017-10-10,album,00:00,Pham Tran Phuong,196069,32,https://open.spotify.com/track/5ruSgKhfxAzCVdG2ajwOHQ
Cho Không,2021-07-15,album,No Nê,Suboi,201047,16,https://open.spotify.com/track/1F8vOQ4ywGF2AnncLD9PYu
Money Nói,2024-09-30,single,Money Nói,"Vũ Thanh Vân, VSTRA",281722,38,https://open.spotify.com/track/365zfYLYcybD8UdXFfgzdY
Yêu Nắm,2024-02-13,single,Yêu Nắm,"BigDaddy, Emily",227076,46,https://open.spotify.com/track/5f4u0kPnU21qNe6fXgAUiV
Facts will be good,2024-10-12,single,Facts will be good,QAREZMA ZONE,66944,17,https://open.spotify.com/track/50Hp9v0ZVK1xh00e0U8jR0
Con Mèo,2024-10-23,single,Con Mèo,7UPPERCUTS,216200,28,https://open.spotify.com/track/3DcvPEsB7jfWAOYjVnlxln
Không Yêu Xin Đừng Nói - Prod Kirimi Remix,2024-10-26,single,Không Yêu Xin Đừng Nói (Prod Kirimi Remix),"UMIE, Prod Kirimi",225288,37,https://open.spotify.com/track/4rtDGyv5VJRgQSLl8Df1nB
NGỰA Ô,2024-10-02,single,NGỰA Ô,"Dangrangto, TeuYungBoy, DONAL",215415,62,https://open.spotify.com/track/4eeflgjzTF8xN8U2E0dech
Hẹn Gặp Em Dưới Ánh Trăng,2020-09-25,single,Hẹn Gặp Em Dưới Ánh Trăng,"MANBO, HIEUTHUHAI, HURRYKNG",222000,62,https://open.spotify.com/track/0s7RyyUlQfd8mnnboHe18n
Soft Boy In Love,2024-11-14,single,Soft Boy In Love,"Daduc, DAGIAM",212043,23,https://open.spotify.com/track/7tfQb8dbwI6GetDk73UpBt
Lỡ Một Mai Tôi Quên Tên Người,2024-01-11,single,Lỡ Một Mai Tôi Quên Tên Người,Khiem,166455,50,https://open.spotify.com/track/7H8QQu5KgRyaUJ1OjEUqwr
มันต้องถอน,2008-10-01,album,มันต้องถอน,ปอยฝ้าย มาลัยพร,270393,26,https://open.spotify.com/track/6yDdCsKc65h9HC30CFynYA
Em Đứng Đây Từ Chiều,2024-11-09,single,Em Đứng Đây Từ Chiều,"Choco Trúc Phương, TaylorDaClownn",193826,31,https://open.spotify.com/track/0I9emLQ5ytqPMJxUcA3RcO
Hóa ra anh là...,2024-11-21,single,Hóa ra anh là...,Lena,148443,32,https://open.spotify.com/track/1JRe5EJWAsI7gN8GgyXrZt
Pickleball,2024-11-15,single,Pickleball,ĐỖ PHÚ QUÍ ,199200,37,https://open.spotify.com/track/4GsWicX3RcJSIyp5ijP2b2
Mình Là Gì Của Nhau,2016-09-21,single,Mình Là Gì Của Nhau,Lou Hoàng,295352,44,https://open.spotify.com/track/4Wc98oLOg1IuVCGqIhTDVj
Đi đâu chẳng thấy,2024-08-10,single,Đi đâu chẳng thấy,Trần Gia Bảo,156200,31,https://open.spotify.com/track/0SbHb2Nq0oyPleSD3ztc0I
Định Mệnh Tình Yêu (Sổ Sứ Mệnh 38: Lựa chọn của tình yêu),2022-01-22,single,Định Mệnh Tình Yêu (Sổ Sứ Mệnh 38: Lựa chọn của tình yêu),"Jay Bach, Liên Quân Mobile, Changg, Lemese",165112,37,https://open.spotify.com/track/2R8JSGD8rMRufnDXIVLhkx
Pickleball Drill,2024-12-01,single,Pickleball Drill,Nguyễn Tiến Thành,74419,8,https://open.spotify.com/track/4KeHwLBNsTZB1sLvR8EJoi
Lonely Stonie,2024-11-12,album,THE WXRDIES,Wxrdie,185769,45,https://open.spotify.com/track/0VWHhUe3OxsnLDFnMMhjJM
Tim Anh Ghen,2024-11-12,album,THE WXRDIES,"Wxrdie, Dangrangto, TeuYungBoy, LVK",279605,56,https://open.spotify.com/track/3rtOU0GwlsbCNiCqEDLZUN
Quê Tôi,2017-05-31,compilation,The Best Of Thùy Chi 3,Thùy Chi,269531,29,https://open.spotify.com/track/7iYjIqTrM9fdncKjuDVnOa
Miss You Like Crazy,2024-12-11,album,7UPPERCUTS,"7UPPERCUTS, Only C",290907,26,https://open.spotify.com/track/5JJw3hXnvZMJHTCGH5TmQA
Itsu,2024-12-11,single,Itsu,Straw,171150,9,https://open.spotify.com/track/2itTHV8KY7gf3fjDkFjqdf
ANH ĐÃ LÀM GÌ ĐÂU (feat. Nhật Hoàng & Thùy Chi),2024-12-02,single,"RAP VIỆT 2024, Tập 12","RAP VIỆT, Nhật Hoàng, Thùy Chi",297000,55,https://open.spotify.com/track/37ull7GiBZRLhWYDBIYZzW
Anh Iu,2024-07-17,single,Lần Thứ 2,Saabirose,168476,39,https://open.spotify.com/track/7KtZrOAL4t289vxvljxlth
Không Ra Gì,2024-11-12,single,Không Ra Gì,Trúc Nhân,204923,47,https://open.spotify.com/track/30CXPFiHrPmKxAxPpiMlLw
Mời Em,2024-11-12,album,THE WXRDIES,"Wxrdie, Mcee Blue",203687,57,https://open.spotify.com/track/27AEQr4wqfHyVpwgFgnGs6
Em Chào Tết,2020-01-01,single,Em Chào Tết,Bích Phương,188588,41,https://open.spotify.com/track/3pbbEjmAWUHbGgWV8evyfd
Buông Hàng,2024-02-07,single,Buông Hàng,Tommy Tèo,175984,35,https://open.spotify.com/track/5hqk7MPUGDd09cnLNBvise
always (there),2023-11-02,single,always (there),"Andrewng, Finn",240879,24,https://open.spotify.com/track/74oZTQFiU4yE7IwM3d1oMd
Track 06,2024-12-05,single,ii-V-I,"Tyronee, VSTRA, Obito",165161,62,https://open.spotify.com/track/72NMPuJCRsOUoXQJdzVfdo
Ma Cà Rồng,2024-11-28,album,TRỜI ĐÁNH TRÁNH TA - TA VA TRÚNG NGƯỜI,"The Flob, CHIN",266598,39,https://open.spotify.com/track/7zKAUY3RKTvDu79daNexh7
iu bạn mình,2023-11-09,single,iu bạn mình,Shayda,182220,35,https://open.spotify.com/track/51xTfNH5RGQania6ZJNIXm
Mê Cung Tình Yêu (prod. RIO),2024-02-06,single,Mê Cung Tình Yêu (prod. RIO),52Hz,219090,46,https://open.spotify.com/track/57NB3UNDK1VPTRH0N1pqe7
Out Of Body,2024-12-22,single,zai điệu buồn,"TGSN, VSTRA, tlinh",242727,46,https://open.spotify.com/track/3gxhHR1oMoM9pnfk0q3OkL
Em Đây Chẳng Phải Thúy Kiều,2019-10-20,album,Hoàng,Hoàng Thùy Linh,214499,44,https://open.spotify.com/track/031jyNUkkD02vrkgZDGJxu
Querry,2022-01-06,single,Querry,"QNT, Trung Trần",230663,44,https://open.spotify.com/track/2WUJVIxKvhC6yDyPimH27C
NOKIA,2023-11-25,album,YEAR2000,"VCC Left Hand, V#",272659,41,https://open.spotify.com/track/0yprDzjWl85vkb3ASmNOvK
Mình Lượn Lờ Làm Wen (NOVINA),2025-01-24,single,Mình Lượn Lờ Làm Wen (NOVINA),VCC Left Hand,156000,50,https://open.spotify.com/track/5Ad2WBPQGCa9bPskbob5dN
Hồng không gai,2024-02-14,album,TO LOVE AND BE LOVED,"Winno, SpideyBoy",224918,53,https://open.spotify.com/track/3PJbFJImi0QMxDCUKFBfbU
Ooh Just You,2020-11-24,single,Ooh Just You,Lê Thiện Hiếu,195200,32,https://open.spotify.com/track/41qCPMY2yhelj8Dubjjft7
hãy cho con chịu đau khổ thay em,2025-01-01,single,hãy cho con chịu đau khổ thay em,"Lil Liem, Kewwi, KIDDI",275348,45,https://open.spotify.com/track/7ouOcOLiD2Ts80DEmKSx7l
Thao túng tâm trí,2025-02-18,single,Thao túng tâm trí,Awai,182298,12,https://open.spotify.com/track/1uHZAZCAENDMpxhozOmoDP
Lac Nhau Co Phai Muon Doi. - Original,2018-05-25,single,Lac Nhau Co Phai Muon Doi. (Original),ERIK,282575,39,https://open.spotify.com/track/2Gt0kVB7kHnJZi0GTJe4Qm
Chạy Về Khóc Với Anh,2022-01-26,single,Chạy Về Khóc Với Anh,ERIK,223658,51,https://open.spotify.com/track/7hzVxbVA6Y5t9YDzpSgdRS
Đau Nhất Là Lặng Im,2022-02-17,single,Đau Nhất Là Lặng Im,ERIK,286153,49,https://open.spotify.com/track/5H7UgZQk2p5x4nmeuDjmE4
Dịu Dàng Em Đến,2021-08-30,single,Dịu Dàng Em Đến,ERIK,185000,43,https://open.spotify.com/track/63q4o5Nh1ykbhdo4rKEW9c
"3107 4 (feat. Erik, Nâu)",2022-07-31,single,"3107 4 (feat. Erik, Nâu)","W/N, ERIK, Nau",213913,54,https://open.spotify.com/track/45PPoUgqs3JrhkZGEzSUHT
"Em Không Sai, Chúng Ta Sai",2020-05-07,single,"Em Không Sai, Chúng Ta Sai",ERIK,291529,55,https://open.spotify.com/track/3yWacnoBnM0lrzLmXAk44d
Lac Nhau Co Phai Muon Doi (Music From “Cho Em Den Ngay Mai”),2017-01-16,single,Lac Nhau Co Phai Muon Doi (Music From “Cho Em Den Ngay Mai”),ERIK,316866,50,https://open.spotify.com/track/5m6oe6saYJkVSbouNrNfUw
Rời Bỏ (feat. Anh Tú),2021-02-25,compilation,Xuân Hạ Thu Đông Rồi Lại Xuân,"Forest Studio, Hoà Minzy, Anh Tú",271000,21,https://open.spotify.com/track/7ETHb1PenqqFpmc7cbtoo2
Người Ấy Là Ai (feat. 16 Typh),2020-10-16,single,Rap Việt Tập 11,"RAP VIỆT, 16 Typh",203520,22,https://open.spotify.com/track/6523STZxyVjkdIKPB6CHfH
Người Ta Đâu,2022-04-22,single,Người Ta Đâu,"Sơn Soho, Min.T, Pittu Quyên",266004,2,https://open.spotify.com/track/4XRMvIPzHNk7nL6LXH5uRB
Nhớ - Instrumental,2021-11-08,single,Nhớ,Min.T,162133,0,https://open.spotify.com/track/4eEeeLAaqIqHn8frIxpa23
Gửi,2021-07-06,single,Gửi,Min.T,232290,4,https://open.spotify.com/track/78OcQwF0WDwG7N5JNFyV1n
Mỹ Nhân Ngư,2021-08-05,single,Mỹ Nhân Ngư,Hannie,252000,4,https://open.spotify.com/track/5lTzvDaMMgHdznNoAnOH7o
Đừng Hỏi Em,2017-12-06,album,Tâm 9,Mỹ Tâm,263053,42,https://open.spotify.com/track/2IRMoSVwaDxBw0huQabuKY
Có Ai Thương Em Như Anh,2018-01-01,single,Có Ai Thương Em Như Anh,"Tóc Tiên, Touliver",231497,51,https://open.spotify.com/track/7AD5F85waSb3yZxZxEXhJM
hai mươi hai (22),2022-05-25,single,hai mươi hai (22),"Hứa Kim Tuyền, AMEE",238986,40,https://open.spotify.com/track/6K2RhGsliOVLgj7iUaayuD
đen đá không đường,2020-06-29,album,dreAMEE,AMEE,180500,0,https://open.spotify.com/track/3clfEGdaeSmWM6pDekmZ2G
Em Bé,2020-09-22,single,Em Bé,"AMEE, Karik",192000,47,https://open.spotify.com/track/4RZJObXQzsKQLd25LBjBG8
nàng thơ... trời giấu trời mang đi,2020-12-16,album,dreAMEE (acoustic),"AMEE, Hoàng Dũng",262150,0,https://open.spotify.com/track/1PSmJr2mHzDjYXrKvQPKb0
Vì Mẹ Anh Bắt Chia Tay,2022-06-13,single,Vì Mẹ Anh Bắt Chia Tay,"Miu Lê, Karik, Châu Đăng Khoa",261999,40,https://open.spotify.com/track/5mG5cQE6SEYxnGCX3I09IC
Cà Phê,2022-03-22,album,50/50,MIN,190526,24,https://open.spotify.com/track/5cvW3PYJeQjRTnj9vHP5Va
มันคงเป็นความรัก,2013-06-04,album,Supermarket,Stamp,235594,0,https://open.spotify.com/track/4fhJwNo5swG5tJU6s66BVU
Mình Là Gì Của Nhau,2016-09-21,single,Mình Là Gì Của Nhau,Lou Hoàng,295352,44,https://open.spotify.com/track/4Wc98oLOg1IuVCGqIhTDVj
Gặp Nhưng Không Ở Lại,2020-12-08,single,Gặp Nhưng Không Ở Lại,"Hiền Hồ, Vương Anh Tú",276777,43,https://open.spotify.com/track/6jvCnAiPiiy5OORy8x4hRI
Là Bạn Nhưng Yêu Em,2022-05-12,single,Là Bạn Nhưng Yêu Em,Đức Anh,247168,0,https://open.spotify.com/track/4pHpzwjRVJyeRvOHGJzuIZ
Máu Đỏ Da Vàng,2021-11-24,single,Máu Đỏ Da Vàng,"ERIK, DTAP",245333,31,https://open.spotify.com/track/4t3Tcv5VOlBhhvPlSAtBjH
Chú Chó Trên Ô Tô (feat. Tlinh),2020-11-08,album,Rap Việt Tập 15,"RAP VIỆT, tlinh",193485,26,https://open.spotify.com/track/6pZI0hE72OTSbsG12p8Fx4
Anh Đánh Rơi Người Yêu Này,2019-07-15,single,Anh Đánh Rơi Người Yêu Này,"Andiez, AMEE",217729,0,https://open.spotify.com/track/0Nz6SyAceTkTy4lCDgqFJ7
Tôi Đã Quên Thật Rồi,2019-07-03,single,Tôi Đã Quên Thật Rồi,Isaac,285000,27,https://open.spotify.com/track/2X2u482DF06CN04eMeHYi1
Yêu 5,2017-01-01,single,Yêu 5,Rhymastic,240000,51,https://open.spotify.com/track/5U30iZBlmxkpHqzb1OSnBS
Phía Sau Em,2019-03-04,single,Phía Sau Em,Kay Trần,189037,0,https://open.spotify.com/track/2J3yoavy0daNn6l8hOffBA
